2021-07-04/13:00:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-07-04/13:00:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-07-04/13:00:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-07-04/13:00:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-07-04/13:00:09		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-07-04/13:00:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-07-04/13:00:11		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-07-04/13:00:12		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-07-04/13:00:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-07-04/21:53:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-07-04/21:53:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-07-04/21:53:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-07-04/21:53:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-07-04/21:53:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-07-04/21:53:49		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-07-04/21:53:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-07-04/21:53:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-07-04/21:53:52		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-07-04/22:28:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-07-04/22:28:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-07-04/22:28:54		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-07-04/22:28:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-07-04/22:28:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-07-04/22:28:55		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-07-04/22:28:56		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-07-04/22:28:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-07-04/22:28:57		 wafer_29012020_050617.csv: File Transformed successfully!!
