,columns,missing values count
0,Sensor - 1,3
1,Sensor - 2,9
2,Sensor - 3,39
3,Sensor - 4,39
4,Sensor - 5,39
5,Sensor - 6,39
6,Sensor - 7,39
7,Sensor - 8,24
8,Sensor - 9,6
9,Sensor - 10,6
10,Sensor - 11,6
11,Sensor - 12,6
12,Sensor - 13,6
13,Sensor - 14,9
14,Sensor - 15,9
15,Sensor - 16,9
16,Sensor - 17,9
17,Sensor - 18,9
18,Sensor - 19,9
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,3
22,Sensor - 23,3
23,Sensor - 24,3
24,Sensor - 25,3
25,Sensor - 26,3
26,Sensor - 27,3
27,Sensor - 28,3
28,Sensor - 29,3
29,Sensor - 30,3
30,Sensor - 31,3
31,Sensor - 32,3
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,42
41,Sensor - 42,42
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,3
54,Sensor - 55,3
55,Sensor - 56,3
56,Sensor - 57,3
57,Sensor - 58,3
58,Sensor - 59,3
59,Sensor - 60,15
60,Sensor - 61,15
61,Sensor - 62,15
62,Sensor - 63,15
63,Sensor - 64,15
64,Sensor - 65,15
65,Sensor - 66,15
66,Sensor - 67,15
67,Sensor - 68,15
68,Sensor - 69,15
69,Sensor - 70,15
70,Sensor - 71,15
71,Sensor - 72,15
72,Sensor - 73,1590
73,Sensor - 74,1590
74,Sensor - 75,15
75,Sensor - 76,72
76,Sensor - 77,72
77,Sensor - 78,72
78,Sensor - 79,72
79,Sensor - 80,72
80,Sensor - 81,72
81,Sensor - 82,72
82,Sensor - 83,72
83,Sensor - 84,3
84,Sensor - 85,6
85,Sensor - 86,1833
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,153
90,Sensor - 91,153
91,Sensor - 92,15
92,Sensor - 93,6
93,Sensor - 94,6
94,Sensor - 95,15
95,Sensor - 96,15
96,Sensor - 97,15
97,Sensor - 98,15
98,Sensor - 99,15
99,Sensor - 100,15
100,Sensor - 101,15
101,Sensor - 102,15
102,Sensor - 103,15
103,Sensor - 104,6
104,Sensor - 105,6
105,Sensor - 106,15
106,Sensor - 107,15
107,Sensor - 108,15
108,Sensor - 109,15
109,Sensor - 110,864
110,Sensor - 111,864
111,Sensor - 112,864
112,Sensor - 113,1671
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,72
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,9
122,Sensor - 123,9
123,Sensor - 124,9
124,Sensor - 125,9
125,Sensor - 126,9
126,Sensor - 127,9
127,Sensor - 128,9
128,Sensor - 129,9
129,Sensor - 130,9
130,Sensor - 131,9
131,Sensor - 132,9
132,Sensor - 133,9
133,Sensor - 134,9
134,Sensor - 135,9
135,Sensor - 136,0
136,Sensor - 137,3
137,Sensor - 138,9
138,Sensor - 139,39
139,Sensor - 140,39
140,Sensor - 141,39
141,Sensor - 142,39
142,Sensor - 143,39
143,Sensor - 144,24
144,Sensor - 145,6
145,Sensor - 146,6
146,Sensor - 147,6
147,Sensor - 148,6
148,Sensor - 149,6
149,Sensor - 150,9
150,Sensor - 151,9
151,Sensor - 152,9
152,Sensor - 153,9
153,Sensor - 154,9
154,Sensor - 155,9
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,2313
158,Sensor - 159,2313
159,Sensor - 160,3
160,Sensor - 161,3
161,Sensor - 162,3
162,Sensor - 163,3
163,Sensor - 164,3
164,Sensor - 165,3
165,Sensor - 166,3
166,Sensor - 167,3
167,Sensor - 168,3
168,Sensor - 169,3
169,Sensor - 170,3
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,42
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,3
191,Sensor - 192,3
192,Sensor - 193,3
193,Sensor - 194,3
194,Sensor - 195,3
195,Sensor - 196,3
196,Sensor - 197,15
197,Sensor - 198,15
198,Sensor - 199,15
199,Sensor - 200,15
200,Sensor - 201,15
201,Sensor - 202,15
202,Sensor - 203,15
203,Sensor - 204,15
204,Sensor - 205,15
205,Sensor - 206,15
206,Sensor - 207,15
207,Sensor - 208,15
208,Sensor - 209,15
209,Sensor - 210,15
210,Sensor - 211,72
211,Sensor - 212,72
212,Sensor - 213,72
213,Sensor - 214,72
214,Sensor - 215,72
215,Sensor - 216,72
216,Sensor - 217,72
217,Sensor - 218,72
218,Sensor - 219,3
219,Sensor - 220,6
220,Sensor - 221,1833
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,153
225,Sensor - 226,153
226,Sensor - 227,15
227,Sensor - 228,6
228,Sensor - 229,6
229,Sensor - 230,15
230,Sensor - 231,15
231,Sensor - 232,15
232,Sensor - 233,15
233,Sensor - 234,15
234,Sensor - 235,15
235,Sensor - 236,15
236,Sensor - 237,15
237,Sensor - 238,15
238,Sensor - 239,6
239,Sensor - 240,6
240,Sensor - 241,15
241,Sensor - 242,15
242,Sensor - 243,15
243,Sensor - 244,15
244,Sensor - 245,864
245,Sensor - 246,864
246,Sensor - 247,864
247,Sensor - 248,1671
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,72
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,9
257,Sensor - 258,9
258,Sensor - 259,9
259,Sensor - 260,9
260,Sensor - 261,9
261,Sensor - 262,9
262,Sensor - 263,9
263,Sensor - 264,9
264,Sensor - 265,9
265,Sensor - 266,9
266,Sensor - 267,9
267,Sensor - 268,9
268,Sensor - 269,9
269,Sensor - 270,9
270,Sensor - 271,0
271,Sensor - 272,3
272,Sensor - 273,9
273,Sensor - 274,39
274,Sensor - 275,39
275,Sensor - 276,39
276,Sensor - 277,39
277,Sensor - 278,39
278,Sensor - 279,24
279,Sensor - 280,6
280,Sensor - 281,6
281,Sensor - 282,6
282,Sensor - 283,6
283,Sensor - 284,6
284,Sensor - 285,9
285,Sensor - 286,9
286,Sensor - 287,9
